IncACh_ALE,IncACh_FWE,IncACh_Z,DecACh_FWE,DecACh_Z,ComACh_FWE,ComACh_Z,NbM_Z,NbMSep_Z
0.092565514,0.0,0.36627167,0.0,0.31985682,0.0,0.35051936,0.39295864,0.32964736
0.44538793,0.0,0.6603409,0.0,0.36334902,0.0,0.38859192,0.39717248,0.31544855
0.010759585,0.0,0.17718115,0.0,0.27990296,0.0,0.29890788,0.14093548,0.10114464
0.11353564,0.0,0.3676916,0.0,0.32158872,0.0,0.34872824,0.36470938,0.31041
0.19713777,0.0,0.48210052,0.0,0.32139912,0.0,0.3534538,0.29135615,0.25350305
0.38445836,0.0,0.5986107,0.0,0.40378764,0.0,0.4357038,0.29876792,0.24633092
0.44842866,0.0,0.63184303,0.0,0.35139477,0.0,0.40163875,0.49461156,0.4170038
0.0067441603,0.0,0.2183481,0.0,0.2534091,0.0,0.2885027,0.3361631,0.26751193
0.00015027606,0.0,0.027288772,0.0,0.27378562,0.0,0.30854014,0.31316793,0.2501678
0.08468588,0.0,0.3791434,0.06414578,0.51042753,1.5381378e-05,0.53521687,0.5888774,0.52283686
0.14438385,0.0,0.43935663,0.32441798,0.6478083,0.29007274,0.6541248,0.6554734,0.56852067
0.006304825,0.0,0.16730382,0.017597906,0.51437,0.0022206497,0.53435934,0.68044406,0.58357763
0.0120298,0.0,0.21096641,0.0,0.22314464,0.0,0.23930287,0.17534107,0.119273424
0.019959917,0.0,0.29232305,0.0,0.27411902,0.0,0.3415022,0.5165149,0.45988584
0.0004710902,0.0,0.08250793,0.0,0.25046512,0.0,0.30675602,0.34094065,0.37223262
0.07925574,0.0,0.3196661,0.0,0.29963648,0.0,0.3169886,0.27153924,0.20397612
0.06918464,0.0,0.3046371,0.0473169,0.45328164,0.023737263,0.46753767,0.27328992,0.21114695
0.085325405,0.0,0.32753187,0.0,0.48826608,0.0,0.51098,0.5925957,0.49653304
0.08829846,0.0,0.3123028,0.0,0.44778597,0.0,0.45849404,0.3806575,0.30113566
0.4171155,0.0,0.6392532,0.0,0.29234055,0.0,0.32534772,0.37043393,0.29163462
0.2014451,0.0,0.47015283,0.0,0.38854957,0.0,0.42006168,0.497632,0.40223688
0.033400983,0.0,0.24117637,0.0,0.42151397,0.0,0.43359596,0.5171762,0.42057055
0.16156694,0.0,0.45590985,0.0,0.3122828,0.0,0.3333237,0.3643766,0.28666306
6.5230066e-05,0.0,,0.0,0.34594044,0.0,0.3730498,0.44854867,0.36038908
0.0007218756,0.0,0.083766684,0.0,0.41582048,0.0,0.4453495,0.48467532,0.4147326
