Achei_only_incZ,Achei_only_decZ,Nic_only_incZ,Nic_only_decZ,ALE_inc3,ALE_dec3
,,0.48510432,0.28330666,0.0,0.0
0.15091312,,0.36336744,0.39153346,0.0,0.0
,,0.2155237,0.3803303,0.0,0.0
0.28586408,0.10947475,0.529354,0.98304504,0.0,0.0
,,0.29456133,0.11028963,0.0,0.0
0.17755929,,0.2167752,0.34461054,0.0,0.0
0.60814,,0.07202617,0.81779885,0.0,0.0
0.16111228,,,0.3556806,0.0,0.0
0.48081085,,,0.4270135,0.0,0.0
0.35561678,0.5090498,0.46386355,0.44717762,0.0,0.0
0.40240225,0.120725244,0.35753906,0.4593537,0.0,0.0
0.33435616,,,0.20773326,0.0,0.0
,,,,0.0,0.0
,0.440806,0.49013168,0.40636545,0.0,0.0
0.14807513,0.17148536,0.30736023,0.5809314,0.0,0.0
0.3530847,0.0073307306,0.21876298,0.5526105,0.0,0.0
0.34629723,,,0.43364796,0.0,0.0
0.5486615,,,,0.0,0.0
0.27064988,,0.050209448,0.69281954,0.0,0.0
0.7024176,,0.41603166,0.1920622,0.0,0.0
0.116217524,0.1757445,0.2593302,0.5220276,0.0,0.0
0.36353204,0.0,0.39361662,0.9151931,0.0,0.0
0.32716182,,0.74953634,0.8152726,0.0,0.0
0.24067858,0.096508086,,0.10741672,0.0,0.0
0.33850452,0.058082253,,0.40418062,0.0,0.0
0.49451408,,0.17879733,0.41203883,0.0,0.0
,,0.14143959,0.3564155,0.0,0.0
,,0.24624883,,0.0,0.0
0.46582416,0.18947148,0.2696368,0.24160385,0.0,0.0
0.005290419,,0.33528352,0.31380618,0.0,0.0
0.2362831,,0.09689897,0.36773825,0.0,0.0
,,0.40675318,,0.0,0.0
,,0.091281086,,0.0,0.0
,,,0.20546705,0.0,0.0
0.28098658,0.19119608,0.34063876,0.209746,0.0,0.0
,,0.100640714,0.46431193,0.0,0.0
0.30568656,,,0.4026301,0.0,0.0
,,,,0.0,0.0
0.20674172,,0.17688802,,0.0,0.0
,,0.14635439,,0.0,0.0
0.14423952,,0.32713032,0.4462702,0.0,0.0
,,0.49646086,0.34824717,0.0,0.0
,,0.33651632,0.3103259,0.0,0.0
,,,,0.0,0.0
,0.22275576,0.5882443,0.54062945,0.0,0.0
0.2898167,,0.89981264,0.38452616,0.29944903,0.0
0.22308895,0.15927169,0.37543815,0.4594911,0.0,0.0
,0.28447235,0.40250707,,0.0,0.0
0.37899473,0.17675456,,0.58574355,0.0,0.0
0.33730593,0.11901191,0.39512342,0.63782024,0.0,0.0
0.4877287,0.22508907,0.14039871,0.44478482,0.0,0.0
0.5427091,0.28765818,,,0.0,0.0
0.6138706,0.05807367,,0.10932167,0.0,0.0
0.42522445,0.029133976,0.2265863,0.5464231,0.0,0.0
0.3089353,,0.42139602,0.5192209,0.0,0.0
