IncACh_ALE,IncACh_FWE,IncACh_Z,binInAch_FWE,nonMACMDecACh_FWE,binDeAch_FWE,MACMDDecACh_FWE,MACMDDecACh_Z,MACMDComACh_FWE,MACMDComACh_Z,MACMDNbM_Z,MACMDNbMSep_Z,AchInc_ALE05d3,AchDec_ALE05d3
1.2126757e-09,0.0,,0.0,0.0,0.0,0.0,0.11754824,0.0,0.12793669,0.23926795,0.24304189,0.0,0.0
1.4097677e-06,0.0,,0.0,0.0,0.0,0.0,0.28541967,0.0,0.29681182,0.2659441,0.26914594,0.0,0.0
6.636364e-06,0.0,,0.0,0.0,0.0,0.0,0.17596875,0.0,0.19841583,0.20738307,0.2105107,0.0,0.0
1.218713e-05,0.0,,0.0,0.0,0.0,0.0,0.13872173,0.0,0.16439953,0.21240576,0.22285286,0.0,0.0
0.003078004,0.0,0.06078572,0.0,0.0,0.0,0.0,0.23031767,0.0,0.25883996,0.29386604,0.29662398,0.0,0.0
0.051919475,0.0,0.27416033,0.0,0.0,0.0,0.0,0.16793016,0.0,0.1842118,0.3493942,0.37421492,0.0,0.0
0.4904439,0.0,0.65142584,0.0,0.0,0.0,0.0,0.22830203,0.0,0.26047313,0.16791375,0.17015181,0.0,0.0
0.0020522755,0.0,0.0424516,0.0,0.0,0.0,0.0,0.21824378,0.0,0.2478447,0.21421757,0.21714884,0.0,0.0
,,,,,,,,,,,,,
0.040812947,0.0,0.24632275,0.0,0.0,0.0,0.11322341,0.36675826,0.13698186,0.4086291,0.4876001,0.5292469,0.0,0.0
0.012053456,0.0,0.16012025,0.0,0.0,0.0,0.0,0.29923698,0.0,0.3024732,0.48111266,0.47977036,0.0,0.0
0.074422084,0.0,0.30772024,0.0,0.0,0.0,0.0,0.13209555,0.0,0.15569778,0.17276195,0.18089986,0.0,0.0
0.002112106,0.0,0.058456182,0.0,0.0,0.0,0.0,0.25984228,0.0,0.27755964,0.36490205,0.37138557,0.0,0.0
0.0056047603,0.0,0.114264324,0.0,0.0,0.0,0.0,0.26616985,0.0,0.28211224,0.24730752,0.25091162,0.0,0.0
1.86324e-07,0.0,,0.0,0.0,0.0,0.0,0.18555559,0.0,0.19869554,0.2085027,0.21178031,0.0,0.0
8.313274e-05,0.0,,0.0,0.0,0.0,0.0,0.18843156,0.0,0.2015097,0.24978492,0.32568866,0.0,0.0
6.16529e-05,0.0,,0.0,0.0,0.0,0.0,0.24674422,0.0,0.25888336,0.28160453,0.34851187,0.0,0.0
1.527974e-13,0.0,,0.0,0.0,0.0,0.0,0.079109594,0.0,0.087798655,0.11687623,0.20660262,0.0,0.0
0.25292414,0.0,0.46512616,0.0,0.0,0.0,0.21542384,0.44482046,0.21476455,0.45344254,0.3103678,0.31403032,0.0,0.0
1.4152768e-09,0.0,,0.0,0.0,0.0,0.0,0.08513881,0.0,0.08699119,0.21671274,0.2198104,0.0,0.0
2.2306835e-06,0.0,,0.0,0.0,0.0,0.0,0.07872145,0.0,0.08739306,,0.09456797,0.0,0.0
0.0069405036,0.0,0.12370361,0.0,0.0,0.0,0.0,0.21275851,0.0,0.23027328,0.1585922,0.20334129,0.0,0.0
0.15417397,0.0,0.38703394,0.0,0.0,0.0,0.0,0.18116581,0.0,0.25875363,0.30186433,0.31007352,0.0,0.0
0.00012911644,0.0,,0.0,0.0,0.0,0.0,0.26633653,0.0,0.30552632,0.27578813,0.28457546,0.0,0.0
